  GALLONG  GALLAT  NAME
    deg     deg
    15.0   -79.3   Banco 1
   119.8    -1.4   NGC 103
   120.3    -2.5   NGC 129
   120.6    -1.3   NGC 136
   121.0     0.5   King 14
   120.9     0.5   NGC 146
   121.9    -1.6   NGC 189
   121.6    -0.9   Stock 24
   122.0    -1.1   NGC 225
   122.8    22.5   NGC 188
   122.9    -4.7   King 2
   124.0     1.1   Berkeley 62
   124.9    -1.2   NGC 381
   126.1    -3.9   NGC 436
   126.6    -4.3   NGC 457
   127.4    -2.3   NGC 433
   127.2     0.7   NGC 559
   128.0    -1.8   NGC 581
   128.2    -1.1   Trumpler 1
   128.9     2.0   NGC 637
   129.1    -0.4   NGC 654
   129.3    -1.5   NGC 659
   129.4    -0.9   NGC 663
   127.4     9.6   Collinder 463
   130.1    -0.2   IC 166
   137.2   -23.4   NGC 752
   132.4    -6.2   NGC 744
   133.4    -1.9   Stock 2
   134.2    -2.6   Basel 10
   135.1    -3.5   NGC 869
   135.5    -3.3   NGC 884
   134.7     0.0   Markarian 6
   134.7     0.9   IC 1805
   135.8    -1.6   Czernik 8
   136.3    -2.7   NGC 957
   136.4    -0.8   King 4
   137.4    -3.9   Trumpler 2
   135.8     0.3   Berkeley 65
   143.6   -15.6   NGC 1039
   135.8     1.5   NGC 1027
   135.7     2.3   Czernik 13
   137.2     0.9   IC 1848
   146.8   -12.2   NGC 1193
   274.0   -50.7   NGC 1252
   146.6    -8.9   NGC 1245
   146.9    -7.1   Melotte 20
   155.0   -15.4   NGC 1342
   160.4   -17.7   IC 348
    89.0   -49.9   Pleiades 03
   148.1    -1.3   NGC 1444
   149.9     0.1   NGC 1496
   143.7     7.6   NGC 1502
   152.6    -1.6   NGC 1513
   152.0     0.3   NGC 1528
   147.5     5.7   IC 361
   157.1    -3.7   Berkeley 11
   153.3     0.2   NGC 1545
   136.5    -9.3   Hyades 04
   158.6    -1.6   NGC 1605
   180.8   -16.2   NGC 1647
   187.7   -21.1   NGC 1662
   161.6    -0.4   NGC 1664
   169.3    -1.4   NGC 1778
   186.1   -13.1   NGC 1817
   279.0   -33.6   NGC 1901
   173.6    -1.7   NGC 1893
   176.9    -3.6   Berkeley 19
   173.3    -0.3   Stock 8
   172.6     0.3   NGC 1907
   172.3     0.7   NGC 1912
   172.6     1.1   NGC 1931
   175.0     1.6   NGC 1960
   179.2     1.2   Basel 4
   176.4     3.1   King 8
   177.7     3.1   NGC 2099
   205.9   -12.6   NGC 2112
   187.4    -1.1   Basel 11.2
   186.6     0.1   NGC 2129
   186.8     1.8   IC 2157
   187.1     2.3   NGC 2158
   195.6    -2.9   NGC 2169
   186.6     2.2   NGC 2168
   190.2     0.4   NGC 2175
   203.6    -6.2   NGC 2186
   197.3    -2.3   NGC 2194
   226.0   -16.1   NGC 2204
   216.0   -10.1   NGC 2215
   192.4     3.4   Bochum 1
   214.3    -7.7   NGC 2232
   204.4    -1.7   NGC 2236
   239.5   -18.0   NGC 2243
   208.0    -3.4   Collinder 96
   205.4    -1.8   Collinder 97
   206.4    -2.0   NGC 2244
   203.6     0.1   NGC 2251
   204.4     0.1   NGC 2254
   203.8     0.5   Basel 7
   202.9     2.2   NGC 2264
   187.8    10.3   NGC 2266
   208.0     0.4   NGC 2269
   211.9    -1.3   Dolidze 25
   231.1   -10.2   NGC 2287
   215.3    -2.3   NGC 2286
   175.4    17.6   NGC 2281
   212.5     0.3   NGC 2301
   206.8     3.3   NGC 2302
   235.4   -10.4   Collinder 121
   208.0     4.4   Berkeley 32
   232.2    -7.3   Tombaugh 1
   221.7    -1.2   NGC 2323
   213.9     3.8   NGC 2324
   223.9    -0.8   NGC 2335
   224.3    -1.2   NGC 2343
   226.6    -2.3   NGC 2345
   238.4    -6.8   NGC 2354
   243.3    -9.2   Collinder 132
   224.7     0.4   NGC 2353
   248.7   -11.2   Collinder 135
   203.4    11.8   NGC 2355
   228.3    -0.8   Basel 11.1
   229.8    -1.4   NGC 2360
   238.2    -5.5   NGC 2362
   228.1     0.8   Haffner 6
   235.6    -3.9   NGC 2367
   227.5     1.3   Haffner 8
   245.2    -7.9   Collinder 140
   228.4     1.0   NGC 2374
   235.3    -2.4   NGC 2383
   239.9    -4.9   Ruprecht 18
   235.7    -2.0   NGC 2384
   259.6   -14.3   Melotte 66
   204.6    14.0   NGC 2395
   238.6    -3.0   Trumpler 7
   230.8     0.9   Czernik 29
   232.9     1.1   Bochum 5
   232.5     0.8   Bochum 4
