Teff,Lstar_Lsun
6.925495499999999993e+03,1.013390000000000057e+01
6.839380460000000312e+03,4.288199999999999790e+00
6.823723170000000209e+03,6.454000000000000625e+00
6.715165930000000117e+03,3.054100000000000037e+00
6.652145390000000589e+03,9.960300000000000153e+00
6.669759800000000723e+03,5.718299999999999272e+00
6.506663129999999910e+03,2.009700000000000042e+00
6.540587240000000747e+03,3.467100000000000293e+00
6.493615370000000439e+03,4.430985999999999763e+02
6.477175210000000334e+03,2.504033000000000015e+02
6.431964770000000499e+03,1.145829999999999949e+01
6.255302239999999983e+03,1.486099999999999977e+00
6.203955560000000332e+03,8.861999999999998767e-01
6.213461760000000140e+03,1.050140000000000029e+01
6.160898040000000037e+03,2.454844000000000221e+02
6.129583460000000741e+03,1.419109999999999872e+01
6.012153840000000855e+03,7.874999999999999778e-01
6.047382660000001124e+03,1.115099999999999980e+00
5.923429160000000593e+03,1.060710000000000086e+01
5.918210100000000239e+03,2.459023000000000252e+02
5.894724110000001019e+03,4.187819999999999965e+01
5.888852640000000974e+03,5.026951999999999430e+02
5.862697830000000977e+03,2.620870000000000033e+01
5.846186610000000655e+03,1.434370000000000189e+01
5.795747760000001108e+03,7.266000000000000236e-01
5.735019840000000841e+03,1.108309999999999995e+01
5.656733390000001236e+03,2.476200999999999794e+02
5.650079050000000279e+03,5.445510000000000161e+01
5.654338800000000447e+03,3.394230000000000302e+01
5.654645809999999983e+03,9.425079999999999814e+01
5.612893000000000939e+03,5.343373000000000275e+02
5.631346270000000914e+03,1.792910000000000181e+01
5.542435250000000451e+03,5.515999999999999792e-01
5.421650410000001102e+03,2.612413999999999987e+02
5.453911320000000160e+03,6.046179999999999666e+01
5.518949260000000322e+03,3.182549999999999812e+01
5.375685150000000249e+03,1.447460000000000093e+02
5.368247940000001108e+03,9.464979999999999905e+01
5.372814590000000862e+03,4.679688999999999623e+02
5.299188070000000153e+03,4.354000000000000092e-01
5.173370620000000599e+03,3.226999999999999869e-01
5.104031130000000303e+03,2.231382999999999868e+02
5.159950069999999869e+03,1.522675000000000125e+02
5.213632160000001022e+03,8.126999999999999602e+01
5.088373840000000200e+03,5.227550999999999704e+02
5.190146280000000843e+03,1.044449000000000041e+02
5.072716550000000097e+03,1.039194799999999987e+03
4.959201280000001134e+03,3.009999999999999898e-01
4.915541510000000926e+03,2.320121999999999787e+02
4.870376280000000406e+03,2.218999999999999861e-01
4.837857310000000325e+03,6.409669000000000096e+02
4.802628380000001016e+03,3.710000000000000103e-02
4.700073180000001230e+03,3.196431000000000040e+02
4.646614720000000489e+03,2.296000000000000263e-01
4.614741010000000642e+03,1.126999999999999946e-01
4.620612480000000687e+03,5.319999999999999729e-02
4.561897670000000289e+03,6.985139000000000351e+02
4.535895319999999629e+03,1.764000000000000012e-01
4.496620590000000448e+03,4.132183999999999742e+02
4.551328980000000229e+03,3.500000000000000333e-02
4.406303330000000642e+03,2.800000000000000058e-02
4.368138719999999921e+03,1.232000000000000040e-01
4.339232920000000377e+03,6.300000000000000044e-02
4.318818240000000515e+03,6.703305000000000291e+02
4.349349949999999808e+03,8.330000000000001292e-02
4.391624600000000100e+03,2.303000000000000047e-01
4.236617440000000897e+03,5.898598999999999251e+02
4.231920329999999922e+03,3.780000000000000027e-02
4.203737230000000636e+03,9.219084000000000287e+02
4.108412000000000262e+03,1.287999999999999978e-01
4.093017830000000231e+03,2.239999999999999977e-02
4.058417989999999918e+03,9.100000000000001144e-02
3.992363870000000134e+03,7.737939999999999827e+02
3.993929500000000189e+03,4.270000000000000184e-02
3.952102220000000671e+03,1.400000000000000029e-02
3.887367880000000241e+03,1.159106199999999944e+03
3.835301690000000690e+03,7.000000000000000666e-02
3.796088560000000143e+03,2.589999999999999941e-02
3.797430560000000241e+03,1.057000000000000023e-01
3.712210260000000289e+03,3.990000000000000491e-02
3.698789710000000014e+03,1.329999999999999932e-02
3.621286130000000412e+03,1.235615500000000111e+03
3.593103030000000217e+03,6.579999999999999738e-02
3.583708590000000640e+03,2.309999999999999901e-02
3.581360090000000127e+03,1.057000000000000023e-01
3.461973240000000260e+03,4.549999999999999878e-02
3.454322520000000168e+03,3.150000000000000022e-02
3.366072380000000067e+03,1.260000000000000009e-02
3.358243680000000495e+03,1.520597399999999880e+03
3.309594310000000405e+03,7.489999999999999436e-02
5.721929840000000695e+03,1.093490999999999929e+02
5.220175400000000991e+03,1.233588999999999913e+02
4.853508770000000368e+03,2.868557999999999879e+02
4.486842140000000654e+03,4.759475000000000477e+02
4.699122780000000603e+03,3.650695999999999799e+02
4.332456150000000889e+03,5.369266000000000076e+02
4.371052620000000388e+03,8.089564000000000306e+02
4.506140320000000429e+03,9.576875000000000000e+02
4.255263210000000072e+03,1.106753199999999879e+03
3.850000000000000455e+03,1.708175700000000006e+03
3.483333370000000741e+03,1.478105300000000170e+03
5.664035080000000562e+03,4.374299999999999500e+01
5.779824599999999919e+03,5.434380000000000166e+01
5.799122780000000603e+03,3.521000000000000085e+01
5.625438610000000153e+03,2.281299999999999883e+01
5.934210479999999734e+03,1.667469999999999786e+01
6.397368449999999939e+03,1.514170000000000016e+01
6.320175400000000991e+03,1.054619999999999891e+01
6.725438610000000153e+03,7.524999999999999467e+00
6.841228020000000470e+03,4.020100000000000229e+00
6.609649089999999887e+03,2.543099999999999916e+00
6.435964920000000347e+03,2.046800000000000175e+00
6.204385990000000675e+03,1.570100000000000051e+00
6.320175400000000991e+03,1.770999999999999908e+00
6.146491230000000542e+03,1.203999999999999959e+00
5.818421070000000327e+03,7.615999999999999437e-01
5.586842140000000654e+03,6.131999999999999673e-01
5.374561390000000756e+03,5.705000000000000071e-01
5.355263210000000072e+03,5.053999999999999604e-01
5.027192940000000817e+03,3.695999999999999841e-01
4.969298289999999724e+03,2.450000000000000233e-01
4.737719250000000102e+03,2.765000000000000235e-01
4.525438610000000153e+03,2.905000000000000360e-01
4.390350910000000113e+03,1.708000000000000074e-01
4.197368449999999939e+03,1.343999999999999917e-01
4.178070160000000214e+03,1.476999999999999980e-01
3.965789520000000266e+03,1.708000000000000074e-01
3.888596470000000409e+03,1.190000000000000085e-01
3.985087700000000495e+03,1.134000000000000008e-01
4.023684169999999995e+03,1.190000000000000085e-01
4.120175400000000081e+03,1.028999999999999915e-01
4.332456150000000889e+03,1.309000000000000163e-01
4.564035080000000562e+03,1.280999999999999917e-01
4.409649090000000797e+03,1.008000000000000007e-01
4.371052620000000388e+03,8.889999999999999292e-02
4.158771980000000440e+03,8.119999999999999440e-02
4.216666629999999714e+03,6.089999999999999580e-02
4.197368449999999939e+03,4.970000000000000112e-02
4.390350910000000113e+03,6.859999999999999432e-02
4.428947380000000521e+03,5.879999999999999810e-02
4.699122780000000603e+03,5.879999999999999810e-02
4.564035080000000562e+03,4.759999999999999648e-02
4.351754440000000614e+03,4.340000000000000108e-02
4.158771980000000440e+03,3.150000000000000022e-02
3.792105240000000322e+03,4.549999999999999878e-02
3.560526310000000194e+03,5.390000000000000346e-02
3.406140320000000429e+03,5.390000000000000346e-02
3.464035080000000562e+03,7.700000000000001288e-02
3.657017540000000281e+03,7.140000000000000513e-02
3.753508769999999913e+03,8.889999999999999292e-02
3.830701710000000276e+03,9.589999999999999913e-02
3.888596470000000409e+03,7.560000000000000053e-02
3.734210480000000643e+03,6.230000000000000121e-02
3.541228020000000470e+03,4.410000000000000031e-02
3.309649090000000342e+03,3.849999999999999950e-02
3.695614010000000235e+03,2.870000000000000329e-02
3.618421070000000327e+03,2.939999999999999905e-02
3.618421070000000327e+03,2.379999999999999824e-02
3.657017540000000281e+03,2.170000000000000054e-02
3.657017540000000281e+03,1.890000000000000013e-02
3.792105240000000322e+03,1.890000000000000013e-02
3.927192940000000362e+03,1.588981800000000021e+03
4.911403530000000501e+03,7.525090999999999894e+02
5.548245560000000296e+03,5.241354999999999791e+02
5.586842140000000654e+03,2.604825999999999908e+02
6.088596470000000409e+03,2.868557999999999879e+02
5.548245560000000296e+03,3.083738000000000170e+02
5.278070160000000214e+03,2.668392999999999802e+02
5.432456149999999980e+03,1.532538000000000125e+02
5.490350910000001022e+03,6.130670000000000641e+01
6.841228020000000470e+03,5.241600000000000037e+00
6.802631550000000971e+03,8.908899999999999153e+00
6.551754440000000614e+03,1.478120000000000189e+01
6.146491230000000542e+03,1.551130000000000031e+01
3.541228020000000470e+03,4.129999999999999644e-02
3.830701710000000276e+03,3.289999999999999869e-02
4.081578930000000128e+03,4.899999999999999495e-02
3.521929840000000240e+03,4.340000000000000108e-02
3.560526310000000194e+03,4.549999999999999878e-02
4.621929839999999786e+03,1.441999999999999948e-01
4.737719250000000102e+03,1.925000000000000044e-01
