Teff,Lstar_Lsun
1.093862578000000030e+04,5.614455649999999878e+03
1.092185904000000119e+04,1.024368034500000067e+05
1.088832557000000088e+04,1.324096605000000272e+04
1.083802535999999964e+04,3.021345955000000322e+04
1.083802535999999964e+04,2.033413394999999946e+04
1.080449189000000115e+04,1.587601295000000027e+04
1.079610851999999977e+04,1.104327530000000115e+04
1.077095842000000084e+04,6.244354449999999633e+04
1.077095842000000084e+04,5.802817150000000765e+03
1.077095842000000084e+04,3.203883550000000014e+03
1.075419167999999991e+04,1.414432200000000012e+04
1.075419167999999991e+04,2.901903899999999794e+03
1.072904157999999916e+04,2.460519850000000133e+03
1.072065820999999960e+04,6.198710449999999582e+03
1.070389148000000023e+04,1.841755544999999984e+04
1.070389148000000023e+04,1.239530474999999933e+04
1.068712474000000111e+04,6.406673350000000028e+03
1.067874136999999973e+04,5.002053649999999834e+03
1.068712474000000111e+04,1.953026999999999816e+03
1.067874136999999973e+04,1.381116550000000188e+03
1.067035800999999992e+04,2.647741185000000405e+04
1.065359127000000080e+04,7.073368349999999737e+03
1.064520789999999943e+04,4.036410649999999805e+03
1.065359127000000080e+04,2.716567900000000009e+03
1.065359127000000080e+04,7.752356999999999516e+02
1.065359127000000080e+04,2.080000000000000251e-02
1.061670444999999927e+04,7.758070550000000367e+03
1.063682452999999987e+04,4.760488250000000335e+03
1.063682452999999987e+04,1.889631050000000187e+03
7.849646320000000742e+03,1.883970000000000056e+01
1.060664440999999897e+04,3.059236100000000079e+03
1.061167442999999912e+04,2.156264049999999770e+03
1.061167442999999912e+04,1.499886500000000069e+03
1.058652433000000019e+04,1.903545305000000008e+04
1.057814095999999881e+04,9.134679599999999482e+03
1.058652433000000019e+04,6.198710449999999582e+03
1.058652433000000019e+04,5.085269349999999577e+03
1.058652433000000019e+04,1.889631050000000187e+03
1.058652433000000019e+04,1.190528449999999793e+03
1.058652433000000019e+04,8.701479000000000497e+02
1.056975759000000107e+04,3.422466350000000148e+03
1.056975759000000107e+04,2.901903899999999794e+03
1.054740193999999974e+04,1.619936299999999846e+03
1.056137421999999970e+04,9.929285500000000866e+02
1.056975759000000107e+04,8.012444000000000415e+02
1.055299085999999988e+04,3.099884349999999813e+03
1.054460749000000033e+04,2.156264049999999770e+03
1.053622412000000077e+04,1.931662149999999883e+03
1.053622412000000077e+04,1.724128069999999934e+04
1.053622412000000077e+04,1.050995974999999999e+04
1.053622412000000077e+04,9.519351399999999558e+03
1.052784074999999939e+04,1.250940450000000055e+03
1.053622412000000077e+04,8.012444000000000415e+02
1.051945739000000140e+04,8.622112099999998463e+03
1.051107402000000002e+04,6.097274300000000039e+03
1.051945739000000140e+04,7.257236999999998943e+02
1.051945739000000140e+04,5.573415999999999713e+02
1.051945739000000140e+04,3.876840500000000134e+02
1.049151282999999967e+04,1.614013119999999799e+04
1.050269065000000046e+04,1.414432200000000012e+04
1.049430727999999908e+04,5.343315400000000409e+03
1.050269065000000046e+04,5.048097999999999388e+02
1.050269065000000046e+04,2.704999999999999766e-02
1.048592390999999952e+04,3.934144504999999481e+04
1.048592390999999952e+04,3.563334670000000187e+04
1.048592390999999952e+04,7.073368349999999737e+03
1.047754054999999971e+04,4.760488250000000335e+03
1.048592390999999952e+04,4.456449999999999818e+03
1.046915718000000015e+04,7.337504500000000007e+02
1.048592390999999952e+04,6.573211500000001024e+02
1.048592390999999952e+04,3.511431500000000483e+02
1.046077380999999878e+04,6.406673350000000028e+03
1.045797935999999936e+04,5.953658499999999094e+02
1.046077380999999878e+04,4.572292999999999665e+02
1.045239044000000104e+04,2.647741185000000405e+04
1.045239044000000104e+04,9.210349850000000515e+03
1.043562370999999985e+04,8.434503249999999753e+03
1.045239044000000104e+04,7.310675499999999374e+03
1.045239044000000104e+04,5.802817150000000765e+03
1.045239044000000104e+04,4.456449999999999818e+03
1.045239044000000104e+04,4.171829700000000230e+03
1.043227035999999862e+04,3.680170100000000275e+03
1.045239044000000104e+04,3.311371849999999995e+03
1.045239044000000104e+04,2.018549849999999878e+03
1.045239044000000104e+04,4.006906000000000176e+02
1.042724034000000029e+04,5.655797514999999839e+04
1.042724034000000029e+04,1.104327530000000115e+04
1.042724034000000029e+04,6.573211500000001024e+02
1.040209024000000136e+04,1.199294874999999956e+04
1.040209024000000136e+04,9.519351399999999558e+03
1.040209024000000136e+04,3.311371849999999995e+03
1.040209024000000136e+04,3.876840500000000134e+02
1.039370686999999998e+04,3.128419000000000096e+02
1.037694012999999904e+04,2.460519850000000133e+03
1.038532350000000042e+04,6.573211500000001024e+02
1.038532350000000042e+04,2.363249000000000137e+02
1.036855677000000105e+04,7.364507420000000275e+04
1.036855677000000105e+04,3.021345955000000322e+04
1.036855677000000105e+04,8.622112099999998463e+03
1.036296785000000091e+04,4.141335000000000264e+02
1.036855677000000105e+04,3.689615000000000009e+02
1.036855677000000105e+04,2.140502499999999770e+02
1.035179003000000012e+04,2.172141649999999936e+04
1.035179003000000012e+04,1.190528449999999793e+03
1.035179003000000012e+04,1.699014500000000112e+02
7.649244429999999738e+03,1.050000000000000152e-03
1.033502329000000100e+04,1.050995974999999999e+04
1.033502329000000100e+04,5.255877000000000407e+03
1.028913539000000128e+04,2.895740499999999997e+02
1.032663992999999937e+04,2.176112499999999841e+02
1.031825655999999981e+04,1.781971500000000015e+04
1.031825655999999981e+04,1.668162260000000242e+04
1.031825655999999981e+04,1.486205904999999984e+04
1.031825655999999981e+04,1.160365335000000050e+04
1.031825655999999981e+04,9.838719750000000204e+03
1.031825655999999981e+04,1.814929000000000201e+02
1.031825655999999981e+04,3.524999999999999661e-02
1.030148982000000069e+04,5.802817150000000765e+03
1.030148982000000069e+04,1.938750999999999749e+02
1.030148982000000069e+04,1.944999999999999854e-02
1.028472309000000132e+04,6.621613299999999981e+03
1.028472309000000132e+04,4.605961099999999533e+03
1.028472309000000132e+04,4.311792050000000017e+03
1.028472309000000132e+04,2.716567900000000009e+03
1.028472309000000132e+04,2.212314999999999827e+02
1.026795635000000038e+04,1.967408069999999861e+04
1.026795635000000038e+04,1.239530474999999933e+04
1.026795635000000038e+04,5.997498099999998885e+03
1.026795635000000038e+04,5.614455649999999878e+03
1.022883396999999968e+04,3.905387299999999868e+03
1.025118962000000101e+04,3.347996799999999894e+03
1.023442288000000008e+04,1.676735999999999933e+02
1.026795635000000038e+04,1.304809999999999945e+02
1.024280624999999964e+04,1.414432200000000012e+04
1.023777622999999949e+04,1.093448994999999923e+04
1.024280624999999964e+04,2.628387149999999565e+03
1.023202763000000050e+04,2.249716600000000199e+03
1.022324505999999928e+04,2.236784000000000106e+02
1.023442288000000008e+04,1.865529999999999973e+02
