Full,_RAJ2000,_DEJ2000,DANCe,Nep,RAJ2000,DEJ2000,pmRA,pmDE,chi2r,Epoch,umag,gmag,rmag,imag,Ymag,Jmag,Hmag,Kmag,Pmb,Teff,Lbol
,""h:m:s"""h:m:s"""",""d:m:s"""d:m:s"""",,,deg,deg,mas/yr,mas/yr,,yr,mag,mag,mag,mag,mag,mag,mag,mag,,K,Lsun
1,03 49 58.055,+23 50 55.36,J034958.05+235055.0,2,57.491859,23.848613,-14.74,-43.54,0,2008.1602,,,,,,6.545,6.587,6.514,0.9998,7500,1.83E+01
2,03 46 12.686,+23 07 42.80,J034612.70+230742.3,2,56.552935,23.128425,25.24,-47.49,0,2009.9474,,,,,,7.573,7.327,7.285,1,6000,5.26E+00
3,03 36 10.758,+26 15 52.35,J033610.76+261552.1,2,54.044847,26.264459,7.68,-29.59,0,2009.8773,,10.732,10.013,9.894,,9.043,8.784,8.713,0.9998,5750,1.27E+00
4,03 44 58.925,+22 01 56.79,J034458.93+220156.4,5,56.245561,22.032321,12.4,-40.3,0.27,2010.8621,,10.229,9.303,9.245,,8.52,8.349,8.278,1,5750,2.02E+00
5,03 53 01.298,+23 03 25.19,J035301.32+230324.7,4,58.255499,23.056852,27.02,-47.99,0,2010.8602,,10.621,10.115,9.908,,9.072,8.76,8.677,0.9999,5750,1.28E+00
6,03 39 09.121,+24 22 04.04,J033909.14+242203.7,5,54.788098,24.367698,28.81,-30.37,12.07,2010.9153,,10.271,9.647,9.556,,8.728,8.54,8.434,0.9992,5750,1.72E+00
7,03 51 06.339,+25 35 40.82,J035106.35+253540.5,13,57.776461,25.594574,14.65,-32.56,10.58,2010.8769,,,,,,8.214,8.045,8.009,1,6250,3.06E+00
8,03 44 39.665,+22 06 47.88,J034439.67+220647.5,4,56.165292,22.1132,6.52,-32.78,4.35,2010.9497,,11.438,10.829,10.589,,9.639,9.249,9.127,1,5250,6.91E-01
9,03 44 20.515,+24 46 22.26,J034420.52+244621.8,9,56.085508,24.772736,9.1,-38.53,3.14,2010.6446,,11.54,10.838,10.572,,9.455,9.027,8.869,0.9999,5000,7.45E-01
10,03 45 15.355,+25 17 22.08,J034515.36+251721.7,14,56.314016,25.289358,10.59,-35.78,4.94,2010.8709,,11.626,10.897,10.749,,9.709,9.323,9.228,0.9996,5250,6.35E-01
11,03 41 19.346,+23 51 41.98,J034119.35+235141.7,22,55.330641,23.861594,16.48,-39.36,1.59,2006.2668,21.554,19.194,17.778,16.182,14.23,13.634,13.065,12.781,0.9998,3100,8.53E-03
12,03 52 17.630,+24 27 18.59,J035217.64+242718.4,20,58.073487,24.455099,17.2,-43.18,0.33,2005.2877,,,20.432,18.166,15.745,15.161,14.651,14.159,0.9992,2800,1.96E-03
13,03 43 53.867,+25 28 30.28,J034353.87+252830.3,23,55.974442,25.475082,16.45,-41.55,2.92,1999.691,19.074,16.78,15.485,14.373,,12.346,11.718,11.467,0.9998,3500,3.25E-02
14,03 45 45.126,+25 35 44.89,J034545.14+253544.6,18,56.438072,25.595715,19.38,-39.67,4.86,2008.0542,,10.479,9.919,9.827,,9.011,8.72,8.701,1,6000,1.42E+00
15,03 45 05.310,+25 29 11.19,J034505.31+252911.1,37,56.272138,25.48642,18.74,-42.59,5.87,2001.8927,19.107,16.791,15.517,14.436,,12.376,11.717,11.484,0.9993,3500,3.16E-02
16,03 53 50.263,+25 57 52.68,J035350.27+255752.4,13,58.459472,25.964544,14.7,-35.52,5.27,2009.0489,,11.419,10.844,10.636,,9.682,9.371,9.299,0.9999,5500,6.59E-01
17,03 29 25.401,+25 39 08.32,J032925.41+253908.1,2,52.355892,25.652262,24.55,-24.46,0,2007.2373,,10.056,9.273,9.213,,8.459,8.314,8.27,0.9994,6000,2.22E+00
18,03 47 23.971,+23 54 52.22,J034723.98+235452.0,4,56.849914,23.914442,20.3,-42.1,0.78,2005.344,,,9.231,,,8.612,8.293,8.268,1,6250,2.33E+00
19,03 47 33.676,+24 41 03.17,J034733.69+244102.8,30,56.890363,24.684097,14.87,-42.39,5.44,2009.8093,15.247,13.336,12.512,12.029,,10.807,10.244,10.128,0.9998,4500,1.93E-01
20,03 46 38.889,+24 31 13.16,J034638.90+243112.8,41,56.66208,24.520227,16.94,-41.49,4.48,2008.3302,16.058,13.997,12.909,12.445,,11.042,10.438,10.286,0.9997,4250,1.38E-01
21,03 48 13.571,+24 19 06.03,J034813.57+241906.0,4,57.056547,24.318343,,,0,2002.7339,,9.739,9.038,8.367,,7.526,7.393,7.352,0.9997,5500,4.09E+00
22,03 49 56.602,+24 20 56.49,J034956.60+242056.3,2,57.485818,24.348967,-28.28,-76.67,0,2002.706,,,,,,7.346,7.367,7.35,1,10000,2.60E+01
23,03 50 12.404,+24 31 58.62,J035012.41+243158.3,45,57.551726,24.532848,15.81,-42.09,4.36,2008.693,15.548,13.665,12.771,12.225,,10.983,10.433,10.271,0.9998,4500,1.62E-01
24,03 49 16.793,+24 23 46.10,J034916.79+242346.0,2,57.319946,24.396116,-30.95,-34.02,0,2002.5038,,,,,,7.28,7.29,7.257,0.9999,10000,2.87E+01
25,03 43 58.815,+23 52 58.00,J034358.82+235257.6,12,55.995062,23.882663,0.44,-56.46,66.57,2007.2746,,10.195,9.449,9.419,,8.6,8.42,8.308,0.9999,6000,2.05E+00
26,03 44 53.839,+23 55 16.60,J034453.85+235516.3,10,56.224388,23.921184,21.4,-36.5,4.67,2009.3547,,11.202,10.5,10.319,,9.312,8.935,8.816,0.9997,5250,9.13E-01
27,03 44 26.283,+24 35 23.06,J034426.29+243522.6,21,56.109532,24.58962,8.79,-56.42,6.45,2007.5778,,11.789,11.227,10.908,,9.835,9.389,9.266,0.9999,5000,5.22E-01
28,03 45 41.856,+24 25 53.54,J034541.87+242553.2,23,56.424446,24.431441,19.73,-44.07,3.71,2007.9661,,11.644,11.079,10.846,,9.801,9.528,9.398,0.9999,5250,5.55E-01
29,03 48 16.905,+23 38 12.37,J034816.92+233812.1,6,57.0705,23.636687,21.06,-30.59,3.6,2009.7643,,10.438,9.916,9.859,,9.041,8.817,8.736,0.9999,6000,1.38E+00
30,03 46 37.686,+23 47 15.92,J034637.70+234715.6,24,56.657063,23.78767,18.89,-45.47,46.64,2006.7482,,10.622,9.934,9.857,,8.925,8.583,8.527,1,5500,1.37E+00
