RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
4 43 20.81 -69 13 48.0 0.07   8.84 15.48 14.69 14.20 13.91 # Evs HV12717 
4 46  1.04 -69 38 56.1 0.07  13.74 15.72 14.77 14.21 13.74 # Evs HV12724 
4 47  6.86 -69 17 39.7 0.07  22.56 15.02 14.09 13.62 13.09 # Evs U1      
4 47 24.05 -69 43 19.4 0.13   3.59 16.36 15.84 15.29 15.10 # Evs HV12447 
4 48 51.35 -69 21 22.9 0.06   8.74 15.53 14.77 14.40 13.95 # Evs HV12452 
4 50 30.79 -69 30 15.0 0.20   5.02 15.86 15.51 15.00 14.76 # Evs HV12472 
4 50 52.39 -69 18 56.0 0.07  15.85 15.58 14.73 13.95 13.66 # Evs HV12471 
4 52 47.66 -68 20 55.9 0.07  20.08 14.58 13.66 13.23 12.85 # Evs U11     
4 54  6.23 -70 48 44.9 0.20   3.34 16.47 15.94 15.60 15.25 # Evs HV5511  
4 54 23.75 -70 54  5.8 0.03  34.43 14.61 13.06 12.58 12.16 # Evs HV873   
4 54 24.36 -70 55 24.1 0.04   3.93 16.30 15.77 15.42 15.08 # Evs HV12416 
4 55  1.39 -71  2 14.5 0.20   3.02 16.59 16.09 15.74 15.40 # Evs HV12418 
4 55  6.42 -67 28 33.4 0.06  29.86 14.65 13.69 13.15 12.71 # Evs HV872   
4 55 40.50 -66 25 43.7 0.07  98.82 12.91 11.93 11.38 10.88 # Evs HV5497  
4 55 49.48 -69 20 59.6 0.20   3.78 16.31 15.75 15.40 15.07 # Evs DV271   
4 55 52.87 -69 17 20.6 0.20   2.63 16.52 16.04 15.70 15.41 # Evs HV12500 
4 56 27.69 -69 22 47.5 0.03  30.35 13.92 12.96 12.58 12.17 # Evs HV875   
4 56 33.22 -67 17 35.1 0.11   2.95 16.82 16.21 15.84 15.48 # Evs HV12491 
4 56 33.54 -70  9 23.1 0.13   3.21 16.61 16.01 15.61 15.38 # Evs HV12419 
4 56 34.34 -70  6 40.0 0.11   3.57 16.64 16.03 15.56 15.32 # Evs HV12508 
4 56 38.79 -69 18  3.8 0.17   2.73 16.84 16.25 15.89 15.55 # Evs HV12503 
4 57 12.50 -67 22 55.0 0.06  22.71 14.29 13.53 13.32 12.70 # Evs HV876   
4 57 25.46 -69 34  1.7 0.11   2.76 17.00 16.34 15.92 15.56 # Evs HV5517  
4 57 43.60 -70  3 13.9 0.07   1.33 15.91 15.26 14.83 14.44 # Evs DV46    
4 57 45.00 -65 42 30.1 0.07  24.24 13.59 12.95 12.56 12.27 # Evs HV6098  
4 57 51.03 -69 57 30.3 0.01  23.31 13.95 13.49 13.07 12.68 # Evs HV878   
4 57 56.74 -68 48 57.8 0.17  14.39 16.99 14.55 14.75 14.00 # Evs HV12505 
4 58  5.64 -69 27 15.1 0.06  36.80 14.72 13.64 13.01 12.52 # Evs HV879   
4 58 10.79 -69 56 59.2 0.01  39.35 13.94 13.05 12.53 12.08 # Evs HV2257  
4 58 32.54 -70 20 46.2 0.03  35.76 14.29 13.09 12.61 12.19 # Evs HV881   
4 58 36.36 -70  6 39.2 0.06  17.27 13.95 13.26 12.90 12.52 # Evs HV2261  
4 58 36.90 -69 31 52.5 0.07   3.05 17.52 16.69 16.24 15.79 # Evs HV12514 
4 58 41.47 -69 31 32.2 0.07   3.75 16.38 15.77 15.38 15.05 # Evs HV13013 
4 58 47.23 -70  3 41.8 0.06  15.84 15.04 14.29 13.78 13.33 # Evs HV2262  
4 58 48.92 -70  8 56.7 0.11   2.05 16.11 15.73 15.33 15.11 # Evs DV50    
4 58 55.62 -69 15 59.2 0.13   4.69 16.51 15.81 15.38 14.99 # Evs HV5526  
4 59 11.30 -70 22 12.9 0.13   2.55 16.29 15.99 15.70 15.40 # Evs HV12426 
4 59 24.86 -69 25 38.8 0.03   5.07 15.82 15.32 14.99 14.66 # Evs BV906   
4 59 36.74 -68 28 55.9 0.11   3.31 14.55 14.78 14.83 14.97 # Evs HV5524  
