# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   3.162e+08 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    8.50    0.1500000060    0.1500  -2.5109 3.5183  5.1443  11.047  16.056  14.572  12.997  11.864  10.485  9.221   8.676   8.424   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    8.50    0.2000000030    0.2000  -2.2366 3.5399  5.0814  10.362  14.891  13.523  12.025  10.975  9.748   8.588   8.028   7.788   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    8.50    0.2500000000    0.2500  -2.0490 3.5514  5.0366  9.893   14.187  12.873  11.415  10.404  9.256   8.147   7.575   7.344   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    8.50    0.3000000119    0.3000  -1.9000 3.5605  5.0033  9.520   13.595  12.353  10.945  9.959   8.866   7.788   7.209   6.997   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    8.50    0.3499999940    0.3500  -1.7713 3.5691  4.9759  9.198   13.078  11.900  10.537  9.572   8.527   7.476   6.894   6.698   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    8.50    0.4000000060    0.4000  -1.6304 3.5769  4.9240  8.846   12.571  11.446  10.123  9.174   8.165   7.132   6.544   6.363   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    8.50    0.4499999881    0.4500  -1.5088 3.5859  4.8897  8.542   12.109  11.010  9.711   8.791   7.861   6.862   6.247   6.085   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    8.50    0.5000000000    0.5000  -1.3885 3.5962  4.8562  8.241   11.626  10.550  9.276   8.392   7.560   6.604   5.954   5.814   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    8.50    0.5500000119    0.5500  -1.2606 3.6075  4.8148  7.922   11.158  10.091  8.842   7.996   7.244   6.325   5.651   5.528   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    8.50    0.6000000238    0.6000  -1.1353 3.6197  4.7764  7.608   10.706  9.647   8.424   7.617   6.936   6.052   5.364   5.253   0.4787  0.0000  0.0 1   -13.072 2.9573988914
    8.50    0.6179697514    0.6180  -1.0857 3.6250  4.7608  7.484   10.521  9.465   8.254   7.463   6.814   5.946   5.251   5.146   0.4787  0.0000  0.0 1   -12.920 2.9705698490
    8.50    0.6999999881    0.7000  -0.8763 3.6470  4.6934  6.961   9.653   8.686   7.557   6.843   6.280   5.483   4.821   4.735   0.4787  0.0000  0.0 1   -12.279 3.0225379467
    8.50    0.7177763581    0.7178  -0.8266 3.6533  4.6799  6.836   9.421   8.489   7.385   6.693   6.151   5.376   4.730   4.648   0.4787  0.0000  0.0 1   -12.155 3.0322809219
    8.50    0.8000000119    0.8000  -0.6111 3.6819  4.6260  6.298   8.379   7.647   6.654   6.062   5.593   4.921   4.363   4.298   0.4787  0.0000  0.0 1   -11.616 3.0718705654
    8.50    0.8999999762    0.9000  -0.3649 3.7191  4.5794  5.682   7.152   6.710   5.859   5.378   4.981   4.433   3.987   3.939   0.4787  0.0000  0.0 1   -11.750 3.1102609634
    8.50    1.0000000000    1.0000  -0.1392 3.7498  4.5223  5.118   6.142   5.925   5.203   4.793   4.448   3.993   3.626   3.588   0.4787  0.0000  0.0 1   -12.839 3.1408040524
    8.50    1.1000000238    1.0999  0.0701  3.7745  4.4533  4.595   5.325   5.249   4.632   4.275   3.967   3.581   3.270   3.240   0.4787  0.0000  0.0 1   -13.741 3.1655414104
    8.50    1.2000000477    1.1999  0.2671  3.7961  4.3803  4.102   4.643   4.641   4.113   3.797   3.523   3.192   2.927   2.904   0.4787  0.0000  0.0 1   -14.208 3.1858570576
    8.50    1.2661772966    1.2661  0.3820  3.8093  4.3415  3.815   4.267   4.290   3.813   3.522   3.270   2.971   2.734   2.713   0.4787  0.0000  0.0 1   -14.371 3.1974050999
    8.50    1.2999999523    1.2999  0.4379  3.8157  4.3228  3.675   4.090   4.121   3.668   3.389   3.148   2.864   2.640   2.620   0.4787  0.0000  0.0 1   -14.431 3.2028071880
    8.50    1.3999999762    1.3998  0.5912  3.8343  4.2762  3.292   3.620   3.659   3.271   3.029   2.818   2.578   2.391   2.375   0.4787  0.0000  0.0 1   -14.553 3.2170591354
