Full,_RAJ2000,_DEJ2000,Seq,Name,m_,T,RAJ2000,DEJ2000,Mass,Rad,Teff,logL,FF,ZAMS,SimbadName
,""h:m:s"""h:m:s"""",""d:m:s"""d:m:s"""",,,,,""h:m:s"""h:m:s"""",""d:m:s"""d:m:s"""",Msun,Rsun,K,[Lsun],%,,
1,00 15 51.56,+60 25 53.6,1,MU Cas,P,T,00 15 51.56,+60 25 53.64,4.657,4.192,14750,2.873,37,C,MU Cas
2,00 15 51.56,+60 25 53.6,2,MU Cas,S,T,00 15 51.56,+60 25 53.64,4.575,3.671,15100,2.799,33,C,MU Cas
3,00 22 52.95,-72 03 40.7,3,V69-47 Tuc,P,,00 22 52.95,-72 03 40.68,0.876,1.316,5945,0.288,11,X,Cl* NGC 104 WSB V69
4,00 22 52.95,-72 03 40.7,4,V69-47 Tuc,S,,00 22 52.95,-72 03 40.68,0.859,1.163,5959,0.185,9,X,Cl* NGC 104 WSB V69
5,00 45 39.08,+74 59 17.1,5,YZ Cas,P,T,00 45 39.08,+74 59 17.06,2.308,2.547,9200,1.62,41,C,YZ Cas
6,00 45 39.08,+74 59 17.1,6,YZ Cas,S,T,00 45 39.08,+74 59 17.06,1.347,1.359,6700,0.524,35,C,YZ Cas
7,00 52 37.54,+85 10 34.6,7,NGC188 KR V12,P,T,00 52 37.54,+85 10 34.65,1.102,1.425,5900,0.344,27,C,Cl* NGC 188 KS V12
8,00 52 37.54,+85 10 34.6,8,NGC188 KR V12,S,T,00 52 37.54,+85 10 34.65,1.08,1.374,5875,0.305,27,C,Cl* NGC 188 KS V12
9,01 08 23.08,-55 14 44.7,9,zet Phe,P,T,01 08 23.08,-55 14 44.74,3.922,2.853,14550,2.515,69,C,zet Phe
10,01 08 23.08,-55 14 44.7,10,zet Phe,S,T,01 08 23.08,-55 14 44.74,2.545,1.854,11910,1.793,63,C,zet Phe
11,01 09 34.19,-46 15 56.1,11,AI Phe,P,T,01 09 34.19,-46 15 56.09,1.197,2.935,6310,1.089,22,X,AI Phe
12,01 09 34.19,-46 15 56.1,12,AI Phe,S,T,01 09 34.19,-46 15 56.09,1.238,1.819,5010,0.272,15,C,AI Phe
13,01 11 24.83,+46 57 49.3,13,CO And,P,T,01 11 24.83,+46 57 49.34,1.289,1.727,6140,0.58,43,C,CO And
14,01 11 24.83,+46 57 49.3,14,CO And,S,T,01 11 24.83,+46 57 49.34,1.264,1.694,6170,0.572,43,C,CO And
15,01 11 29.92,+61 08 48.0,15,V459 Cas,P,T,01 11 29.92,+61 08 47.96,2.015,2.01,9140,1.403,26,C,V459 Cas
16,01 11 29.92,+61 08 48.0,16,V459 Cas,S,T,01 11 29.92,+61 08 47.96,1.962,1.966,9100,1.377,26,C,V459 Cas
17,01 16 55.12,+06 48 42.1,17,UV Psc,P,T,01 16 55.12,+06 48 42.12,0.983,1.117,5780,0.097,69,C,UV Psc
18,02 21 12.96,+54 30 36.3,18,V505 Per,P,T,02 21 12.96,+54 30 36.28,1.272,1.288,6512,0.428,31,C,V505 Per
19,02 21 12.96,+54 30 36.3,19,V505 Per,S,T,02 21 12.96,+54 30 36.28,1.254,1.267,6462,0.4,31,C,V505 Per
20,02 59 33.53,+03 31 03.3,20,XY Cet,P,T,02 59 33.53,+03 31 03.27,1.773,1.876,7870,1.084,49,C,XY Cet
21,02 59 33.53,+03 31 03.3,21,XY Cet,S,T,02 59 33.53,+03 31 03.27,1.615,1.776,7620,0.98,50,C,XY Cet
22,03 03 59.95,-17 44 16.1,22,CW Eri,P,T,03 03 59.95,-17 44 16.06,1.583,2.093,6840,0.935,55,C,CW Eri
23,03 14 40.09,-35 33 27.6,23,TZ For,P,,03 14 40.09,-35 33 27.60,1.945,3.974,6350,1.363,22,X,TZ For
24,03 14 40.09,-35 33 27.6,24,TZ For,S,,03 14 40.09,-35 33 27.60,2.045,8.349,5000,1.592,26,X,TZ For
25,03 26 20.73,+03 12 36.3,25,2MASS J03262072+0312362,P,T,03 26 20.73,+03 12 36.29,0.527,0.505,3330,-1.553,31,C,2MASS J03262072+0312362
26,03 26 20.73,+03 12 36.3,26,2MASS J03262072+0312362,S,T,03 26 20.73,+03 12 36.29,0.491,0.471,3270,-1.638,31,C,2MASS J03262072+0312362
27,03 40 04.07,+81 01 09.1,27,EY Cep,P,T,03 40 04.07,+81 01 09.07,1.524,1.463,7090,0.686,22,C,EY Cep
28,03 40 04.07,+81 01 09.1,28,EY Cep,S,T,03 40 04.07,+81 01 09.07,1.5,1.468,6970,0.66,22,C,EY Cep
29,03 47 29.45,+24 17 18.0,29,V1229 Tau,P,T,03 47 29.45,+24 17 18.04,2.221,1.844,10025,1.489,46,C,V1229 Tau
30,03 47 29.45,+24 17 18.0,30,V1229 Tau,S,T,03 47 29.45,+24 17 18.04,1.565,1.587,7262,0.799,51,C,V1229 Tau
31,03 50 41.94,+01 33 50.2,31,V1130 Tau,P,T,03 50 41.94,+01 33 50.21,1.306,1.49,6650,0.591,82,C,V1130 Tau
32,03 50 41.94,+01 33 50.2,32,V1130 Tau,S,T,03 50 41.94,+01 33 50.21,1.392,1.784,6625,0.741,94,C,V1130 Tau
33,03 59 44.68,+48 09 04.5,33,IQ Per,P,T,03 59 44.68,+48 09 04.50,3.513,2.465,12300,2.096,60,C,IQ Per
34,03 59 44.68,+48 09 04.5,34,IQ Per,S,T,03 59 44.68,+48 09 04.50,1.733,1.509,7670,0.85,61,C,IQ Per
35,04 05 10.13,+22 29 48.2,35,CF Tau,P,,04 05 10.13,+22 29 48.17,1.282,2.797,5200,0.711,74,X,CF Tau
36,04 05 10.13,+22 29 48.2,36,CF Tau,S,,04 05 10.13,+22 29 48.17,1.252,2.048,6000,0.688,59,X,CF Tau
37,04 06 55.83,+33 26 46.9,37,AG Per,P,T,04 06 55.83,+33 26 46.93,4.498,3.009,18200,2.95,66,C,AG Per
38,04 06 55.83,+33 26 46.9,38,AG Per,S,T,04 06 55.83,+33 26 46.93,4.098,2.616,17400,2.751,62,C,AG Per
39,04 31 25.28,+64 21 45.5,39,WW Cam,P,T,04 31 25.28,+64 21 45.50,1.92,1.913,8360,1.205,55,C,WW Cam
