Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
1,10672,44,1162,1,15.37,1.29,16.98,0.28,12.95,16.94,0.24,5.52,3.7838,0.0054,0.048,0.015,0,0,0,0
2,12031,49,886,1,13.44,3.62,10.33,0.63,0.8,10,0.34,12.61,,,,,1,0,0,0
3,12709,1226,710,1,53.89,1.27,53.98,0.96,13.62,52.88,0.26,46.82,3.6759,0.0022,-0.686,0.017,0,1,0,3
4,13042,643,529,1,11.18,17.11,6.98,3.89,3.52,7.78,0.37,405.66,,,,,0,0,1,1
5,13117,,,,29.67,9.34,61.8,1.76,18.66,,,,,,,,0,0,3,1
6,13600,1227,1301,1,18.89,1.29,15.32,0.31,12.16,15.05,0.26,7.6,3.7486,0.0056,0.055,0.018,0,0,0,0
7,13806,1794,435,1,25.77,1.39,24.45,0.28,0.93,24.36,0.28,0.4,3.7157,0.0026,-0.349,0.011,0,0,0,0
8,13834,1230,1425,1,31.41,0.84,30.51,0.23,1.97,30.38,0.21,1.18,3.827,0.003,0.608,0.007,0,0,0,0
9,13976,641,305,1,42.66,1.22,42.87,0.31,2.38,43.05,0.33,1.65,3.7019,0.0039,-0.439,0.01,0,0,0,0
10,14838,1228,2019,1,19.44,1.23,20.28,0.28,66.87,20.84,0.19,74.87,,,,,1,0,0,6
11,14976,2344,1916,1,23.73,1.18,25.05,0.27,1.46,25.04,0.27,0.32,3.7421,0.0042,-0.093,0.01,0,0,0,0
12,15300,1792,913,3,29.49,4.7,25.49,0.94,0.9,26.11,0.47,3.83,3.5749,0.0042,-0.799,0.036,0,0,1,1
13,15304,649,766,1,20.2,1.18,23.12,0.32,75.59,23.19,0.33,41.92,3.7838,0.0026,0.247,0.012,0,0,1,0
14,15310,649,1241,1,21.64,1.33,23.31,0.36,61.36,23.62,0.33,60.85,3.7704,0.0025,0.091,0.013,0,0,1,0
15,15368,649,815,3,13.76,5.62,8.28,1.3,1.76,7.12,0.54,0,,,,,0,0,3,1
16,15374,,,,24.54,3.95,16.58,0.85,16.4,,,,3.5993,0.003,-0.867,0.046,0,0,0,0
17,15563,649,5,1,34.18,1.7,32.17,0.38,2.91,31.42,0.4,0.09,3.6665,0.003,-0.777,0.014,0,0,0,0
18,15720,1805,247,1,29.75,2.73,31.02,0.62,0.5,30.78,0.44,2.27,3.5673,0.0068,-0.895,0.038,1,0,0,0
19,16377,4716,414,1,10.48,1.61,8.59,0.41,30.62,8.88,0.31,75.54,,,,,0,0,0,0
20,16529,1798,1193,1,22.78,1.26,23.71,0.33,0.78,23.9,0.27,2.09,3.7179,0.0026,-0.309,0.013,0,0,0,0
